LEFT,RIGHT,DIFF,TrialLabel
2473.645313,2090.489063,-521.2640625,
2473.645313,2089.917188,-522.4078125,
2473.645313,2089.059375,-524.1234375,
2473.645313,2088.773438,-525.553125,
2473.645313,2088.4875,-526.696875,
2473.645313,2088.773438,-527.26875,
2473.645313,2089.63125,-527.26875,
2473.645313,2091.060938,-526.4109375,
2473.645313,2092.776563,-525.2671875,
2473.645313,2094.492188,-523.5515625,
2473.645313,2096.779688,-521.2640625,
2473.645313,2098.495313,-519.2625,
2473.645313,2100.210938,-517.2609375,
2473.645313,2101.640625,-515.5453125,
2473.645313,2102.2125,-514.6875,
2473.645313,2102.2125,-514.115625,
2473.645313,2101.926563,-514.115625,
2473.645313,2101.354688,-514.4015625,
2473.645313,2100.496875,-514.9734375,
2473.645313,2099.639063,-515.83125,
2473.645313,2099.353125,-516.6890625,
2473.645313,2099.639063,-517.2609375,
2473.645313,2100.496875,-517.8328125,
2473.645313,2102.2125,-518.11875,
2473.645313,2104.785938,-518.11875,
2473.645313,2107.645313,-518.4046875,
2473.645313,2110.790625,-519.2625,
2473.645313,2113.935938,-520.1203125,
2473.645313,2116.509375,-521.2640625,
2473.645313,2118.510938,-522.9796875,
2473.645313,2119.36875,-525.2671875,
2473.645313,2119.654688,-527.26875,
2473.645313,2118.796875,-529.2703125,
2473.645313,2117.367188,-530.9859375,
2473.645313,2115.9375,-532.1296875,
2473.645313,2114.507813,-532.415625,
2473.645313,2113.65,-532.1296875,
2473.645313,2113.935938,-530.9859375,
2473.645313,2115.079688,-529.55625,
2473.645313,2117.367188,-527.5546875,
2473.645313,2120.798438,-525.553125,
2473.645313,2124.801563,-524.1234375,
2473.645313,2129.376563,-522.69375,
2473.645313,2133.379688,-522.4078125,
2473.645313,2136.810938,-522.9796875,
2473.645313,2139.384375,-524.409375,
2473.645313,2140.528125,-526.4109375,
2473.645313,2140.528125,-528.984375,
2473.645313,2139.384375,-532.1296875,
2473.645313,2137.382813,-534.9890625,
2473.645313,2135.095313,-537.5625,
2473.645313,2132.807813,-539.85,
2473.645313,2131.092188,-541.2796875,
2473.645313,2130.234375,-542.4234375,
2473.645313,2130.80625,-542.4234375,
2473.645313,2132.235938,-542.709375,
2473.645313,2135.095313,-541.8515625,
2473.645313,2138.526563,-541.565625,
2473.645313,2142.815625,-540.421875,
2473.645313,2147.104688,-539.5640625,
2473.645313,2151.107813,-538.70625,
2473.645313,2154.539063,-537.8484375,
2473.645313,2157.398438,-536.990625,
2473.645313,2159.114063,-536.1328125,
2473.645313,2160.257813,-534.9890625,
2473.645313,2160.54375,-534.13125,
2473.645313,2160.54375,-532.7015625,
2473.645313,2159.971875,-531.84375,
2473.645313,2159.4,-530.9859375,
2473.645313,2159.114063,-530.128125,
2473.645313,2159.114063,-529.2703125,
2473.645313,2159.4,-528.984375,
2473.645313,2159.971875,-528.6984375,
2473.645313,2160.829688,-528.984375,
2473.645313,2161.6875,-529.2703125,
2473.645313,2162.83125,-529.8421875,
2473.645313,2163.689063,-530.4140625,
2473.645313,2164.546875,-530.9859375,
2473.645313,2164.832813,-532.1296875,
2473.645313,2165.404688,-532.415625,
2473.645313,2165.690625,-532.9875,
2473.645313,2165.690625,-533.8453125,
2473.645313,2165.976563,-534.4171875,
2473.645313,2166.2625,-535.275,
2473.645313,2166.2625,-536.41875,
2473.645313,2166.548438,-537.5625,
2473.645313,2166.834375,-539.278125,
2473.645313,2166.834375,-541.2796875,
2473.645313,2167.120313,-543.28125,
2473.645313,2167.120313,-545.8546875,
2473.645313,2166.834375,-548.7140625,
2473.645313,2166.548438,-551.5734375,
2473.645313,2166.2625,-554.146875,
2473.645313,2165.976563,-556.434375,
2473.645313,2165.690625,-558.721875,
2473.645313,2165.690625,-560.1515625,
2473.645313,2165.976563,-561.2953125,
2473.645313,2166.548438,-561.8671875,
2473.645313,2167.40625,-561.8671875,
2473.645313,2168.55,-561.58125,
2473.645313,2169.979688,-560.4375,
2473.645313,2171.695313,-558.721875,
2473.645313,2173.410938,-556.7203125,
2473.645313,2174.840625,-554.4328125,
2473.645313,2176.270313,-551.859375,
2473.645313,2177.7,-549,
2473.645313,2178.557813,-546.4265625,
2473.645313,2179.129688,-543.853125,
2473.645313,2179.701563,-540.99375,
2473.645313,2179.701563,-538.9921875,
2473.645313,2179.701563,-536.990625,
2473.645313,2179.415625,-535.5609375,
